value,smiles
1.0,COC(=O)CCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12
1.0,COc1ccc2nc3cccc([N+](=O)[O-])c3c(NCCCO)c2c1
1.0,COc1ccc2nc3cccc([N+](=O)[O-])c3c(NCCNCCO)c2c1
1.0,CCOC(=O)C1=C(C)NC(c2ccco2)=C(C#N)C1c1cccc([N+](=O)[O-])c1
1.0,COc1ccc2nc3cccc([N+](=O)[O-])c3c(NCCN(CCO)CCO)c2c1
1.0,CNCCCNc1c2cc(OC)ccc2nc2cccc([N+](=O)[O-])c12
1.0,COc1ccc2nc3cccc([N+](=O)[O-])c3c(NCCNCCN(C)C)c2c1
1.0,COC(C(C)=CC=CC(C)=Cc1coc(C)n1)C(C)C1CC(O)C2(C)OC2C=CC(C)C2CC(CC(=O)O2)CC2OC2C(=O)O1
1.0,COc1ccc2nc3cccc([N+](=O)[O-])c3c(NCCCCCC(=O)O)c2c1
1.0,COc1ccc2nc3cc([N+](=O)[O-])ccc3c(NCCCN(C)C)c2c1
1.0,COc1ccc2nc3cc([N+](=O)[O-])ccc3c(NCCCCCN(C)C)c2c1
1.0,CSC1=[SH][Cu]234([SH]=C(SC)N[N+]2=CC2CCCC(C)N23)N2C(C)CCCC2C=[N+]4N1
1.0,NC1=NC2=[SH][Hg](c3cc([N+](=O)[O-])ccc3O)[n+]3cn(C4OC(CO)C(O)C4O)c(c32)N1
1.0,NC1=NC2=[SH][Hg](c3ccc(N)cc3)[n+]3cn(C4OC(CO)C(O)C4O)c(c32)N1
1.0,COc1ccc2nc3cccc([N+](=O)[O-])c3c(NC(C)CN(C)C)c2c1
1.0,COc1ccc2nc3cc([N+](=O)[O-])ccc3c(NCCCN(CCO)CCO)c2c1
1.0,COc1ccc2nc3cc([N+](=O)[O-])ccc3c(NCCO)c2c1
1.0,Oc1c(Cl)cc(C(c2cc(Cl)c(O)c(Cl)c2)C(c2cc(Cl)c(O)c(Cl)c2)c2cc(Cl)c(O)c(Cl)c2)cc1Cl
1.0,Nc1nc(Cl)c(N=Nc2ccc(Cl)cc2)c(NCC2(CO)CC(OCc3ccccc3)C2)n1
1.0,FC(F)(F)c1cc(NC(=S)N2c3ccccc3-n3cccc3C2c2cccnc2)cc(C(F)(F)F)c1
1.0,COc1ccc(CC2NC(=O)C=CCC(C(C)C3OC3c3ccccc3)OC(=O)C(CC(C)C)OC(=O)C(C)CNC2=O)cc1
1.0,CCCC(=O)Nc1cc(C=CC(=O)N2CC(CCl)c3c2cc(OC(C)=O)c2[nH]cc(C)c32)n(C)c1
1.0,CCCC(=O)Nc1cc(C=CC(=O)N2CC(CCl)c3c2cc(O)c2[nH]cc(C)c32)n(C)c1
1.0,COc1ccc(CC2NC(=O)C=CCC(C(C)C3OC3c3ccccc3)OC(=O)C(CC(C)C)OC(=O)C(C)CNC2=O)cc1Cl
1.0,CN(C)CCOC(c1ccccc1)c1ccccc1
1.0,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O
1.0,COC1CC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)OC(C)C1OC1OC(CO)C(O)C(O)C1O
1.0,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
1.0,Nc1nc(Cl)c(N=Nc2ccc(Cl)cc2)c(NCC2(CO)CCC2)n1
1.0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N2CCOCC2C#N)C(O)C(C)O1
1.0,OCC1CCN([Pt](Cl)(Cl)(Cl)(Cl)N2CCC(CO)CC2)CC1
1.0,C=C1CC(COc2cc(Cl)nc(N)n2)C1
1.0,CC1CC2(C)ON=C(c3ccccc3)N2c2ccccc2S1
1.0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N2CCOCC2C#N)C(O)C(C)O1
1.0,CCC(C=CC1OC(=O)C=CC1C)=CC(C)CC=CC(C)=CC(CO)C(=O)C(C)C(O)C(C)CC(C)=CC(=O)O
